id,label,type,community_id,degree,degree_centrality,weighted_degree,weighted_in_degree,weighted_out_degree,betweenness_centrality,pagerank
C_tipping_points,Tipping Points,Concept,COMM_02,11,0.0650887573964497,44.0,36.0,8.0,0.016923185432800816,0.007468201912349758
C_planetary_boundaries,Planetary Boundaries,Concept,COMM_02,25,0.14792899408284024,112.0,57.0,55.0,0.050827462881034305,0.011299134665957682
C_safe_just_earth_system_boundaries,Safe and Just Earth System Boundaries,Concept,COMM_02,15,0.08875739644970414,68.0,25.0,43.0,0.02396377152558471,0.005974493276580335
C_safe_operating_space,Safe Operating Space,Concept,COMM_02,7,0.04142011834319527,30.0,30.0,0.0,0.0,0.006690484277653353
C_planetary_limits,Planetary Limits,Concept,COMM_04,16,0.09467455621301775,64.0,64.0,0.0,0.023109028545419075,0.015054598205681185
C_resilience,Resilience,Concept,COMM_03,20,0.11834319526627218,89.0,34.0,55.0,0.017990753395973183,0.007186019279041848
C_adaptation,Adaptation,Concept,COMM_03,4,0.023668639053254437,19.0,19.0,0.0,0.0,0.00541566449370755
C_transformation,Transformation,Concept,COMM_03,17,0.10059171597633136,70.0,70.0,0.0,0.050008777343942164,0.012412448036929475
C_complex_adaptive_systems,Complex Adaptive Systems,Concept,COMM_01,6,0.03550295857988166,29.0,8.0,21.0,0.0018343136818411551,0.003981295932656482
C_social_ecological_systems,Social-Ecological Systems,Concept,COMM_03,13,0.07692307692307693,59.0,46.0,13.0,0.010202236713225725,0.008687156749165304
C_anthropocene,Anthropocene,Concept,COMM_02,6,0.03550295857988166,24.0,24.0,0.0,0.00011740396355780971,0.005961197700446885
C_planetary_stewardship,Planetary Stewardship,Concept,COMM_07,7,0.04142011834319527,29.0,25.0,4.0,0.005658906620445082,0.008268830185176044
C_metacrisis,Metacrisis,Concept,COMM_08,5,0.029585798816568046,22.0,3.0,19.0,0.0,0.003460657432712891
C_degrowth,Degrowth,Concept,COMM_04,5,0.029585798816568046,26.0,8.0,18.0,0.002481919789612097,0.0037222826691341165
C_post_growth,Post-Growth,Concept,COMM_04,3,0.01775147928994083,13.0,9.0,4.0,0.0,0.004345394081068459
C_just_transition,Just Transition,Concept,COMM_05,7,0.04142011834319527,30.0,21.0,9.0,0.010060681077164594,0.005842224248826952
C_sustainability_transitions,Sustainability Transitions,Concept,COMM_05,19,0.11242603550295859,81.0,38.0,43.0,0.03985318583532868,0.008734886492771637
C_earth_system_governance,Earth System Governance,Concept,COMM_07,13,0.07692307692307693,56.0,15.0,41.0,0.01057093324633477,0.005085436861778955
C_governance_under_uncertainty,Governance under Uncertainty,Concept,COMM_07,9,0.05325443786982249,33.0,33.0,0.0,0.0043637731824545025,0.007471828258788711
C_adaptive_governance,Adaptive Governance,Concept,COMM_03,10,0.05917159763313609,39.0,35.0,4.0,0.002034979164100043,0.00928113309185047
C_emergence,Emergence,Concept,COMM_01,5,0.029585798816568046,20.0,20.0,0.0,0.00014176528599605523,0.005387576141605517
C_nonlinearity,Nonlinearity,Concept,COMM_01,3,0.01775147928994083,12.0,12.0,0.0,0.0,0.0046259107895890664
C_panarchy,Panarchy,Concept,COMM_03,4,0.023668639053254437,18.0,13.0,5.0,0.0,0.00483287632949169
C_adaptive_cycles,Adaptive Cycles,Concept,COMM_03,4,0.023668639053254437,18.0,18.0,0.0,0.0,0.008940521956581488
C_regime_shifts,Regime Shifts,Concept,COMM_03,5,0.029585798816568046,22.0,22.0,0.0,0.002834131680285526,0.00847840353309855
C_supply_chain_vulnerability,Supply Chain Vulnerability,Concept,COMM_01,5,0.029585798816568046,20.0,20.0,0.0,0.006526486334178642,0.007907972663985517
C_energy_transition,Energy Transition,Concept,COMM_05,9,0.05325443786982249,37.0,29.0,8.0,0.014499948565882631,0.007636989823006915
C_mineral_extraction,Mineral Extraction Pressure,Concept,COMM_05,3,0.01775147928994083,13.0,13.0,0.0,0.0006832910679064525,0.007193169939864903
C_ecological_justice,Ecological Justice,Concept,COMM_02,6,0.03550295857988166,26.0,21.0,5.0,0.0016240322559003882,0.005121819864864301
C_justice_and_inequality,Justice and Inequality,Concept,COMM_06,18,0.10650887573964497,73.0,73.0,0.0,0.028793350797788664,0.017433902046932
C_long_term_futures,Long-Term Futures,Concept,COMM_08,5,0.029585798816568046,17.0,17.0,0.0,0.00044613506151967684,0.005143097735015537
C_food_energy_water_nexus,Food-Energy-Water Nexus,Concept,COMM_06,4,0.023668639053254437,14.0,4.0,10.0,0.00725556494787264,0.0039733819844957165
C_climate_change,Climate Change,Concept,COMM_02,7,0.04142011834319527,27.0,27.0,0.0,0.005775296640681257,0.009985244355468275
C_biodiversity_loss,Biodiversity Loss,Concept,COMM_02,2,0.011834319526627219,8.0,8.0,0.0,0.001560494348955887,0.004256641341793754
C_resource_depletion,Resource Depletion,Concept,COMM_04,5,0.029585798816568046,20.0,20.0,0.0,0.004484412108038481,0.005260513633575538
C_water_scarcity,Water Scarcity,Concept,COMM_06,2,0.011834319526627219,7.0,7.0,0.0,0.0002817695125387433,0.00467110274311536
C_geopolitical_instability,Geopolitical Instability,Concept,COMM_08,2,0.011834319526627219,6.0,6.0,0.0,0.00010566356720202873,0.003632021727063041
C_financial_fragility,Financial Fragility,Concept,COMM_01,3,0.01775147928994083,12.0,12.0,0.0,0.0,0.004377486364188165
C_migration_pressures,Migration Pressures,Concept,COMM_01,1,0.005917159763313609,3.0,3.0,0.0,0.0,0.00332022780230501
C_pandemics,Pandemics,Concept,COMM_08,2,0.011834319526627219,6.0,6.0,0.0,0.00010566356720202873,0.003632021727063041
C_socio_technical_transformation,Socio-Technical Transformation,Concept,COMM_05,7,0.04142011834319527,27.0,27.0,0.0,0.00010801164647318491,0.0073516762943839865
C_social_foundations,Social Foundations,Concept,COMM_06,7,0.04142011834319527,27.0,11.0,16.0,0.0003815628815628815,0.003958714468144782
C_ecological_ceilings,Ecological Ceilings,Concept,COMM_06,6,0.03550295857988166,27.0,19.0,8.0,0.00387433079740772,0.005498370884664168
C_crisis_entanglement,Crisis Entanglement,Concept,COMM_01,14,0.08284023668639054,61.0,34.0,27.0,0.011505085268821533,0.00649519966923481
C_common_stresses,Common Stresses,Concept,COMM_01,2,0.011834319526627219,9.0,9.0,0.0,0.0,0.004210557341295846
C_domino_effects,Domino Effects,Concept,COMM_01,3,0.01775147928994083,13.0,9.0,4.0,0.0,0.004210557341295846
C_inter_systemic_feedbacks,Inter-Systemic Feedbacks,Concept,COMM_01,3,0.01775147928994083,14.0,9.0,5.0,0.0003522118906734291,0.004210557341295846
M_system_dynamics,System Dynamics,Method,COMM_04,11,0.0650887573964497,45.0,37.0,8.0,0.023082056536540406,0.01193780099650374
M_integrated_assessment_modelling,Integrated Assessment Modelling,Method,COMM_02,10,0.05917159763313609,42.0,22.0,20.0,0.0288909935201144,0.006415952958836134
M_network_analysis,Network Analysis,Method,COMM_01,10,0.05917159763313609,42.0,30.0,12.0,0.021418246486927816,0.006437614427843811
M_cascading_risk_analysis,Cascading Risk Analysis,Method,COMM_01,7,0.04142011834319527,30.0,22.0,8.0,0.008450803368385787,0.005673108843996147
M_scenario_analysis,Scenario Analysis,Method,COMM_04,13,0.07692307692307693,53.0,45.0,8.0,0.04925592389868776,0.010015929161429406
M_foresight,Foresight,Method,COMM_08,6,0.03550295857988166,23.0,15.0,8.0,0.005390938426652713,0.005004810048496592
M_resilience_assessment,Resilience Assessment,Method,COMM_03,7,0.04142011834319527,28.0,16.0,12.0,0.009558890946253585,0.004986795639580771
M_adaptive_governance_analysis,Adaptive Governance Analysis,Method,COMM_07,4,0.023668639053254437,16.0,16.0,0.0,0.0,0.005296510675467977
M_post_normal_science,Post-Normal Science,Method,COMM_07,3,0.01775147928994083,11.0,11.0,0.0,0.0002901555099357297,0.004729915502832182
M_transdisciplinary_research,Transdisciplinary Research,Method,COMM_05,3,0.01775147928994083,11.0,7.0,4.0,0.003685310416079646,0.004165255168962197
M_qualitative_governance_analysis,Qualitative Governance Analysis,Method,COMM_05,8,0.047337278106508875,31.0,23.0,8.0,0.012806035539552021,0.00600173108734092
M_conceptual_synthesis,Conceptual Synthesis,Method,COMM_08,19,0.11242603550295859,75.0,75.0,0.0,0.06984151782210059,0.01228130376846178
M_comparative_case_study,Comparative Case Study,Method,COMM_05,11,0.0650887573964497,42.0,42.0,0.0,0.010431006722215516,0.008751891723767445
M_earth_system_modelling,Earth System Modelling,Method,COMM_02,10,0.05917159763313609,41.0,29.0,12.0,0.024039917652555025,0.006515889785873279
M_complex_systems_simulation,Complex Systems Simulation,Method,COMM_01,7,0.04142011834319527,29.0,29.0,0.0,0.003046884434247071,0.010282008595413882
M_process_tracing,Process Tracing,Method,COMM_01,4,0.023668639053254437,17.0,17.0,0.0,0.002007607776838546,0.005319340454317473
D_climate_models,Climate Models,DataInfrastructure,COMM_02,2,0.011834319526627219,8.0,8.0,0.0,0.0,0.00587071112311797
D_earth_system_models,Earth System Models,DataInfrastructure,COMM_02,1,0.005917159763313609,4.0,4.0,0.0,0.0,0.0047801200131569
D_integrated_assessment_models,Integrated Assessment Models,DataInfrastructure,COMM_04,2,0.011834319526627219,8.0,8.0,0.0,0.0,0.009097542318981697
D_scenario_databases,Scenario Databases,DataInfrastructure,COMM_04,4,0.023668639053254437,16.0,16.0,0.0,0.0008184733459458734,0.015480191081089424
D_risk_datasets,Risk Datasets,DataInfrastructure,COMM_01,3,0.01775147928994083,12.0,12.0,0.0,0.0020528083028083025,0.008582147643737804
D_supply_chain_datasets,Supply-Chain Datasets,DataInfrastructure,COMM_01,2,0.011834319526627219,8.0,8.0,0.0,0.0,0.007169170160072198
D_biodiversity_data,Biodiversity Data,DataInfrastructure,COMM_03,2,0.011834319526627219,8.0,8.0,0.0,0.00037035613958690883,0.006193097496822506
D_energy_transition_datasets,Energy Transition Datasets,DataInfrastructure,COMM_02,1,0.005917159763313609,4.0,4.0,0.0,0.0,0.00402470613700035
D_global_development_indicators,Global Development Indicators,DataInfrastructure,COMM_04,3,0.01775147928994083,12.0,12.0,0.0,0.0010184260184260183,0.009693332015985432
D_research_databases,Research Databases,DataInfrastructure,COMM_05,2,0.011834319526627219,8.0,8.0,0.0,0.0011406938604740804,0.007308434164191653
D_knowledge_platforms,Knowledge Platforms,DataInfrastructure,COMM_05,3,0.01775147928994083,12.0,12.0,0.0,0.000826020743603161,0.011151769824492161
I_stockholm_resilience_centre,Stockholm Resilience Centre,Institution,COMM_03,19,0.11242603550295859,80.0,34.0,46.0,0.051792456119379195,0.005829079389651164
I_pik,Potsdam Institute for Climate Impact Research (PIK),Institution,COMM_02,13,0.07692307692307693,56.0,15.0,41.0,0.0440945298088155,0.0041853213447561755
I_iiasa,International Institute for Applied Systems Analysis (IIASA),Institution,COMM_08,6,0.03550295857988166,24.0,0.0,24.0,0.003716101003188916,0.0029341150270392807
I_club_of_rome,Club of Rome,Institution,COMM_04,9,0.05325443786982249,39.0,8.0,31.0,0.009729282977909348,0.003972437229677618
I_un_sdg_institutions,UN / SDG-related Governance Institutions,Institution,COMM_06,6,0.03550295857988166,21.0,0.0,21.0,0.0017282379497087863,0.0029341150270392807
I_cascade_institute,Cascade Institute,Institution,COMM_01,11,0.0650887573964497,51.0,12.0,39.0,0.006625776543358959,0.004141651530811786
I_deal,Doughnut Economics Action Lab,Institution,COMM_06,10,0.05917159763313609,37.0,8.0,29.0,0.0021355780971165587,0.0036362831628765184
I_lancet_planetary_health,The Lancet Planetary Health,Institution,COMM_06,2,0.011834319526627219,6.0,0.0,6.0,0.0,0.0029341150270392807
I_global_environmental_change_journal,Global Environmental Change,Institution,COMM_07,3,0.01775147928994083,9.0,0.0,9.0,0.0,0.0029341150270392807
I_sustainability_science_journal,Sustainability Science,Institution,COMM_06,1,0.005917159763313609,3.0,0.0,3.0,0.0,0.0029341150270392807
I_ecology_and_society,Ecology and Society,Institution,COMM_03,2,0.011834319526627219,6.0,0.0,6.0,0.0,0.0029341150270392807
I_environmental_research_letters,Environmental Research Letters,Institution,COMM_04,2,0.011834319526627219,6.0,0.0,6.0,0.0,0.0029341150270392807
I_earth_system_governance_journal,Earth System Governance,Institution,COMM_07,1,0.005917159763313609,3.0,0.0,3.0,0.0,0.0029341150270392807
I_futures_journal,Futures,Institution,COMM_08,2,0.011834319526627219,6.0,0.0,6.0,0.0,0.0029341150270392807
I_journal_industrial_ecology,Journal of Industrial Ecology,Institution,COMM_05,1,0.005917159763313609,3.0,0.0,3.0,0.0,0.0029341150270392807
I_nature_sustainability,Nature Sustainability,Institution,COMM_06,3,0.01775147928994083,9.0,0.0,9.0,0.0,0.0029341150270392807
I_climatic_change,Climatic Change,Institution,COMM_04,2,0.011834319526627219,6.0,0.0,6.0,0.0,0.0029341150270392807
N_earth4all,Earth4All,Initiative,COMM_04,11,0.0650887573964497,42.0,10.0,32.0,0.0052405241278867636,0.003953180180433606
N_future_earth,Future Earth,Initiative,COMM_03,7,0.04142011834319527,28.0,0.0,28.0,0.004167250167884149,0.0029341150270392807
N_earth_commission,Earth Commission,Initiative,COMM_02,10,0.05917159763313609,38.0,6.0,32.0,0.0019262829543894632,0.0035175237640832214
N_earth_system_governance_project,Earth System Governance Project,Initiative,COMM_07,7,0.04142011834319527,28.0,4.0,24.0,0.004211495198392916,0.003243784687683389
N_strn,Sustainability Transitions Research Network (STRN),Initiative,COMM_05,7,0.04142011834319527,28.0,0.0,28.0,0.0008213245850608485,0.0029341150270392807
N_polycrisis_research_agenda,Polycrisis Research Agenda,Initiative,COMM_01,8,0.047337278106508875,32.0,4.0,28.0,0.0020603302883522665,0.0032951831141427366
G_sdgs,Sustainable Development Goals (SDGs),GovernanceFramework,COMM_06,8,0.047337278106508875,28.0,28.0,0.0,0.0013848636101383355,0.007057295448466757
G_doughnut_economics,Doughnut Economics,GovernanceFramework,COMM_06,7,0.04142011834319527,26.0,26.0,0.0,0.0004930966469428007,0.008934368780439081
G_circular_economy,Circular Economy,GovernanceFramework,COMM_05,3,0.01775147928994083,10.0,10.0,0.0,0.0,0.004488229317998575
G_just_transition,Just Transition,GovernanceFramework,COMM_05,6,0.03550295857988166,21.0,21.0,0.0,0.0,0.007243219294972566
G_earth_system_governance,Earth System Governance,GovernanceFramework,COMM_07,4,0.023668639053254437,14.0,14.0,0.0,0.0,0.0046833161910209125
G_planetary_governance,Planetary Governance,GovernanceFramework,COMM_07,10,0.05917159763313609,35.0,35.0,0.0,0.002789685894081498,0.00752545032856845
G_planetary_stewardship,Planetary Stewardship,GovernanceFramework,COMM_02,8,0.047337278106508875,27.0,27.0,0.0,0.002081656133853936,0.012639030589412495
G_adaptive_governance,Adaptive Governance,GovernanceFramework,COMM_03,7,0.04142011834319527,24.0,24.0,0.0,0.0010427987763152592,0.01322149713481796
G_resilience_governance,Resilience Governance,GovernanceFramework,COMM_03,8,0.047337278106508875,27.0,27.0,0.0,0.003686149015819344,0.006158853624821678
G_safe_and_just_boundaries,Safe and Just Boundary Governance,GovernanceFramework,COMM_02,8,0.047337278106508875,27.0,27.0,0.0,0.0002817695125387433,0.006593028462672482
G_planetary_management,Planetary Management,GovernanceFramework,COMM_09,0,0.0,0.0,0.0,0.0,0.0,0.0029341150270392807
PER_michael_lawrence,Michael Lawrence,Person,COMM_01,6,0.03550295857988166,23.0,0.0,23.0,0.0,0.0029341150270392807
PER_scott_janzwood,Scott Janzwood,Person,COMM_01,5,0.029585798816568046,19.0,0.0,19.0,0.0,0.0029341150270392807
PER_thomas_homer_dixon,Thomas Homer-Dixon,Person,COMM_01,6,0.03550295857988166,22.0,0.0,22.0,0.0,0.0029341150270392807
PER_johan_rockstrom,Johan Rockström,Person,COMM_02,12,0.07100591715976332,46.0,0.0,46.0,0.010861885621501005,0.0029341150270392807
PER_ortwin_renn,Ortwin Renn,Person,COMM_01,5,0.029585798816568046,17.0,0.0,17.0,0.0,0.0029341150270392807
PER_jonathan_donges,Jonathan F. Donges,Person,COMM_02,7,0.04142011834319527,25.0,0.0,25.0,0.0,0.0029341150270392807
PER_donella_meadows,Donella H. Meadows,Person,COMM_04,5,0.029585798816568046,17.0,0.0,17.0,0.0,0.0029341150270392807
PER_dennis_meadows,Dennis L. Meadows,Person,COMM_04,3,0.01775147928994083,11.0,0.0,11.0,0.0,0.0029341150270392807
PER_jorgen_randers,Jørgen Randers,Person,COMM_04,4,0.023668639053254437,16.0,0.0,16.0,0.0,0.0029341150270392807
PER_william_behrens,William W. Behrens III,Person,COMM_04,1,0.005917159763313609,5.0,0.0,5.0,0.0,0.0029341150270392807
PER_will_steffen,Will Steffen,Person,COMM_02,5,0.029585798816568046,21.0,0.0,21.0,7.044237813468582e-05,0.0029341150270392807
PER_joyeeta_gupta,Joyeeta Gupta,Person,COMM_02,1,0.005917159763313609,5.0,0.0,5.0,0.0,0.0029341150270392807
PER_katherine_richardson,Katherine Richardson,Person,COMM_02,1,0.005917159763313609,5.0,0.0,5.0,0.0,0.0029341150270392807
PER_carl_folke,Carl Folke,Person,COMM_03,8,0.047337278106508875,28.0,0.0,28.0,0.00014088475626937165,0.0029341150270392807
PER_elinor_ostrom,Elinor Ostrom,Person,COMM_03,5,0.029585798816568046,17.0,0.0,17.0,0.0,0.0029341150270392807
PER_jochen_markard,Jochen Markard,Person,COMM_05,4,0.023668639053254437,14.0,0.0,14.0,0.0,0.0029341150270392807
PER_rob_raven,Rob Raven,Person,COMM_05,3,0.01775147928994083,11.0,0.0,11.0,0.0,0.0029341150270392807
PER_bernhard_truffer,Bernhard Truffer,Person,COMM_05,3,0.01775147928994083,11.0,0.0,11.0,0.0,0.0029341150270392807
PER_kate_raworth,Kate Raworth,Person,COMM_06,7,0.04142011834319527,24.0,0.0,24.0,0.0,0.0029341150270392807
PER_sandrine_dixson_declève,Sandrine Dixson-Declève,Person,COMM_04,1,0.005917159763313609,5.0,0.0,5.0,0.0,0.0029341150270392807
PER_lance_gunderson,Lance H. Gunderson,Person,COMM_03,1,0.005917159763313609,5.0,0.0,5.0,0.0,0.0029341150270392807
PER_cs_holling,C. S. Holling,Person,COMM_03,1,0.005917159763313609,5.0,0.0,5.0,0.0,0.0029341150270392807
PER_frank_biermann,Frank Biermann,Person,COMM_07,4,0.023668639053254437,14.0,0.0,14.0,0.0,0.0029341150270392807
P_what_is_global_polycrisis_2022,What Is a Global Polycrisis?,KeyPublication,COMM_01,12,0.07100591715976332,50.0,18.0,32.0,0.004269982154597538,0.004890263247944866
P_global_polycrisis_causal_mechanisms_2024,Global polycrisis: the causal mechanisms of crisis entanglement,KeyPublication,COMM_01,28,0.16568047337278108,113.0,30.0,83.0,0.07924393855025721,0.0062032998343422765
P_limits_to_growth_1972,The Limits to Growth,KeyPublication,COMM_04,17,0.10059171597633136,70.0,23.0,47.0,0.036463907963336144,0.00839846099158982
P_safe_operating_space_nature_2009,A safe operating space for humanity,KeyPublication,COMM_02,17,0.10059171597633136,65.0,19.0,46.0,0.0068317862907888265,0.004595417361795557
P_planetary_boundaries_ecology_society_2009,Planetary Boundaries: Exploring the Safe Operating Space for Humanity,KeyPublication,COMM_02,13,0.07692307692307693,52.0,13.0,39.0,0.005684665706855056,0.00412561801183898
P_planetary_boundaries_guiding_development_2015,Planetary boundaries: Guiding human development on a changing planet,KeyPublication,COMM_02,12,0.07100591715976332,48.0,10.0,38.0,0.003279863764331219,0.0037991333690180827
P_safe_and_just_boundaries_2023,Safe and just Earth system boundaries,KeyPublication,COMM_02,20,0.11834319526627218,79.0,15.0,64.0,0.038702288033965936,0.00819394297513128
P_resilience_perspective_ses_2006,Resilience: The emergence of a perspective for social-ecological systems analyses,KeyPublication,COMM_03,11,0.0650887573964497,44.0,8.0,36.0,0.008609822208723309,0.00357012652886624
P_general_framework_ses_2009,A general framework for analyzing sustainability of social-ecological systems,KeyPublication,COMM_03,10,0.05917159763313609,40.0,5.0,35.0,0.007099774716532957,0.003667747791175824
P_sustainability_transitions_emerging_field_2012,Sustainability transitions: An emerging field of research and its prospects,KeyPublication,COMM_05,13,0.07692307692307693,53.0,15.0,38.0,0.031462291524104714,0.006092546992120632
P_doughnut_economics_2017,Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,KeyPublication,COMM_06,12,0.07100591715976332,46.0,5.0,41.0,0.007794281420655047,0.0034537715683026654
P_adaptive_governance_ses_2005,Adaptive governance of social-ecological systems,KeyPublication,COMM_03,12,0.07100591715976332,47.0,5.0,42.0,0.006883005578060522,0.0033795349195507533
P_earth4all_survival_guide_2022,Earth for All: A Survival Guide for Humanity,KeyPublication,COMM_04,15,0.08875739644970414,59.0,10.0,49.0,0.021253537000516264,0.0062079512369986045
P_panarchy_2002,Panarchy: Understanding Transformations in Human and Natural Systems,KeyPublication,COMM_03,11,0.0650887573964497,44.0,13.0,31.0,0.027007971170059077,0.008113409432483261
P_earth_system_governance_science_plan_2009,"Earth System Governance: People, Places and the Planet",KeyPublication,COMM_07,12,0.07100591715976332,47.0,5.0,42.0,0.010617901673480704,0.003824954812062226
