id,label,type,concept_family,subtype,year,publication_type,domain,orientation,scale,relevance,confidence,source_basis,community_id,notes
C_post_growth,Post-Growth,Concept,critical_economic_concept,,,,economic;ecological;social,critical;transformative,global;multi-scale,adjacent,medium,uploaded_research_design,COMM_04,
C_just_transition,Just Transition,Concept,justice_transition_concept,,,,energy;social;political,governance-oriented;transformative;justice-oriented,national;regional;global,core,medium,uploaded_research_design,COMM_05,
C_sustainability_transitions,Sustainability Transitions,Concept,transition_framework,,,,technological;energy;social;cross-domain,transformative;governance-oriented,multi-scale,core,medium,uploaded_research_design,COMM_05,
C_earth_system_governance,Earth System Governance,Concept,governance_concept,,,,political;ecological;planetary,governance-oriented;analytical,global;planetary,core,medium,uploaded_research_design,COMM_07,
C_governance_under_uncertainty,Governance under Uncertainty,Concept,governance_concept,,,,political;cross-domain,governance-oriented;analytical,multi-scale,core,medium,uploaded_research_design,COMM_07,
C_adaptive_governance,Adaptive Governance,Concept,governance_concept,,,,political;ecological;social,governance-oriented;transformative,multi-scale,core,medium,uploaded_research_design,COMM_03,
C_emergence,Emergence,Concept,systems_property,,,,cross-domain,analytical,multi-scale,core,medium,uploaded_research_design,COMM_01,
C_nonlinearity,Nonlinearity,Concept,systems_property,,,,cross-domain,analytical;methodological,multi-scale,core,medium,uploaded_research_design,COMM_01,
C_panarchy,Panarchy,Concept,resilience_framework,,,,ecological;social;cross-domain,analytical,multi-scale,core,medium,uploaded_research_design,COMM_03,
C_adaptive_cycles,Adaptive Cycles,Concept,resilience_framework,,,,ecological;social,analytical,multi-scale,core,medium,uploaded_research_design,COMM_03,
C_regime_shifts,Regime Shifts,Concept,systems_property,,,,ecological;social;cross-domain,analytical,multi-scale,core,medium,uploaded_research_design,COMM_03,
C_supply_chain_vulnerability,Supply Chain Vulnerability,Concept,risk_issue,,,,economic;technological;geopolitical,analytical;methodological,global,adjacent,medium,uploaded_research_design,COMM_01,
C_energy_transition,Energy Transition,Concept,transition_issue,,,,energy;technological;political,transformative;governance-oriented,global;national;regional,adjacent,medium,uploaded_research_design,COMM_05,
C_mineral_extraction,Mineral Extraction Pressure,Concept,risk_issue,,,,ecological;economic;geopolitical,critical;analytical,global;regional,adjacent,medium,uploaded_research_design,COMM_05,
C_ecological_justice,Ecological Justice,Concept,justice_concept,,,,social;ecological;political,critical;justice-oriented;governance-oriented,multi-scale,core,medium,uploaded_research_design,COMM_02,
C_justice_and_inequality,Justice and Inequality,Concept,justice_concept,,,,social;political;economic,critical;justice-oriented;governance-oriented,multi-scale;global,core,medium,uploaded_research_design,COMM_06,
C_long_term_futures,Long-Term Futures,Concept,future_orientation,,,,cross-domain,analytical;foresight,global;planetary,adjacent,medium,uploaded_research_design,COMM_08,
C_food_energy_water_nexus,Food-Energy-Water Nexus,Concept,nexus_concept,,,,food;energy;water;cross-domain,analytical;governance-oriented,multi-scale,adjacent,medium,uploaded_research_design,COMM_06,
C_climate_change,Climate Change,Concept,crisis_domain,,,,climate;ecological,analytical;governance-oriented,global;planetary,core,medium,uploaded_research_design,COMM_02,
C_biodiversity_loss,Biodiversity Loss,Concept,crisis_domain,,,,ecological,analytical;governance-oriented,global;planetary,core,medium,uploaded_research_design,COMM_02,
C_resource_depletion,Resource Depletion,Concept,crisis_domain,,,,ecological;economic,analytical;critical,global,core,medium,uploaded_research_design,COMM_04,
C_water_scarcity,Water Scarcity,Concept,crisis_domain,,,,water;ecological;social,analytical;governance-oriented,local;regional;global,adjacent,medium,uploaded_research_design,COMM_06,
C_geopolitical_instability,Geopolitical Instability,Concept,crisis_domain,,,,geopolitical;political,analytical,global;regional,adjacent,medium,uploaded_research_design,COMM_08,
C_financial_fragility,Financial Fragility,Concept,crisis_domain,,,,economic,analytical,global,adjacent,medium,uploaded_research_design,COMM_01,
C_migration_pressures,Migration Pressures,Concept,crisis_domain,,,,social;political,analytical;governance-oriented,regional;global,adjacent,medium,uploaded_research_design,COMM_01,
C_pandemics,Pandemics,Concept,crisis_domain,,,,health;social,analytical;governance-oriented,global,adjacent,medium,uploaded_research_design,COMM_08,
C_socio_technical_transformation,Socio-Technical Transformation,Concept,transition_framework,,,,technological;social;energy,transformative;governance-oriented,multi-scale,core,medium,uploaded_research_design,COMM_05,
C_social_foundations,Social Foundations,Concept,doughnut_component,,,,social;economic,governance-oriented;justice-oriented,global;multi-scale,adjacent,medium,uploaded_research_design,COMM_06,
C_ecological_ceilings,Ecological Ceilings,Concept,doughnut_component,,,,ecological;planetary,analytical;governance-oriented,planetary,adjacent,medium,uploaded_research_design,COMM_06,
C_crisis_entanglement,Crisis Entanglement,Concept,polycrisis_mechanism,,,,cross-domain,analytical;methodological,global;multi-scale,core,medium,uploaded_research_design,COMM_01,
C_common_stresses,Common Stresses,Concept,polycrisis_mechanism,,,,cross-domain,analytical,global;multi-scale,core,medium,uploaded_research_design,COMM_01,
C_domino_effects,Domino Effects,Concept,polycrisis_mechanism,,,,cross-domain,analytical,global;multi-scale,core,medium,uploaded_research_design,COMM_01,
C_inter_systemic_feedbacks,Inter-Systemic Feedbacks,Concept,polycrisis_mechanism,,,,cross-domain,analytical,global;multi-scale,core,medium,uploaded_research_design,COMM_01,
M_system_dynamics,System Dynamics,Method,,,,,cross-domain,methodological,multi-scale,core,medium,uploaded_research_design,COMM_04,
M_integrated_assessment_modelling,Integrated Assessment Modelling,Method,,,,,cross-domain,methodological,multi-scale,core,medium,uploaded_research_design,COMM_02,
M_network_analysis,Network Analysis,Method,,,,,cross-domain,methodological,multi-scale,core,medium,uploaded_research_design,COMM_01,
M_cascading_risk_analysis,Cascading Risk Analysis,Method,,,,,cross-domain,methodological,multi-scale,core,medium,uploaded_research_design,COMM_01,
M_scenario_analysis,Scenario Analysis,Method,,,,,cross-domain,methodological,multi-scale,core,medium,uploaded_research_design,COMM_04,
M_foresight,Foresight,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_08,
M_resilience_assessment,Resilience Assessment,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_03,
M_adaptive_governance_analysis,Adaptive Governance Analysis,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_07,
M_post_normal_science,Post-Normal Science,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_07,
M_transdisciplinary_research,Transdisciplinary Research,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_05,
M_qualitative_governance_analysis,Qualitative Governance Analysis,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_05,
M_conceptual_synthesis,Conceptual Synthesis,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_08,
M_comparative_case_study,Comparative Case Study,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_05,
M_earth_system_modelling,Earth System Modelling,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_02,
M_complex_systems_simulation,Complex Systems Simulation,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_01,
M_process_tracing,Process Tracing,Method,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_01,
D_climate_models,Climate Models,DataInfrastructure,,,,,climate,methodological,planetary,adjacent,medium,uploaded_research_design,COMM_02,
D_earth_system_models,Earth System Models,DataInfrastructure,,,,,earth_system,methodological,planetary,adjacent,medium,uploaded_research_design,COMM_02,
D_integrated_assessment_models,Integrated Assessment Models,DataInfrastructure,,,,,climate_energy_economy,methodological,global,adjacent,medium,uploaded_research_design,COMM_04,
D_scenario_databases,Scenario Databases,DataInfrastructure,,,,,cross-domain,methodological,global,adjacent,medium,uploaded_research_design,COMM_04,
D_risk_datasets,Risk Datasets,DataInfrastructure,,,,,risk,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_01,
D_supply_chain_datasets,Supply-Chain Datasets,DataInfrastructure,,,,,economic_technological,methodological,global,adjacent,medium,uploaded_research_design,COMM_01,
D_biodiversity_data,Biodiversity Data,DataInfrastructure,,,,,ecological,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_03,
D_energy_transition_datasets,Energy Transition Datasets,DataInfrastructure,,,,,energy,methodological,global,adjacent,medium,uploaded_research_design,COMM_02,
D_global_development_indicators,Global Development Indicators,DataInfrastructure,,,,,development,methodological,global,adjacent,medium,uploaded_research_design,COMM_04,
D_research_databases,Research Databases,DataInfrastructure,,,,,academic,methodological,global,adjacent,medium,uploaded_research_design,COMM_05,
D_knowledge_platforms,Knowledge Platforms,DataInfrastructure,,,,,cross-domain,methodological,multi-scale,adjacent,medium,uploaded_research_design,COMM_05,
I_stockholm_resilience_centre,Stockholm Resilience Centre,Institution,,research_center,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_03,
I_pik,Potsdam Institute for Climate Impact Research (PIK),Institution,,research_institute,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_02,
I_iiasa,International Institute for Applied Systems Analysis (IIASA),Institution,,research_institute,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_08,
I_club_of_rome,Club of Rome,Institution,,think_tank,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_04,
I_un_sdg_institutions,UN / SDG-related Governance Institutions,Institution,,international_organization,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_06,
I_cascade_institute,Cascade Institute,Institution,,research_institute,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_01,
I_deal,Doughnut Economics Action Lab,Institution,,knowledge_platform,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_06,
I_lancet_planetary_health,The Lancet Planetary Health,Institution,,journal,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_06,
I_global_environmental_change_journal,Global Environmental Change,Institution,,journal,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_07,
I_sustainability_science_journal,Sustainability Science,Institution,,journal,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_06,
I_ecology_and_society,Ecology and Society,Institution,,journal,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_03,
I_environmental_research_letters,Environmental Research Letters,Institution,,journal,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_04,
I_earth_system_governance_journal,Earth System Governance,Institution,,journal,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_07,
I_futures_journal,Futures,Institution,,journal,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_08,
I_journal_industrial_ecology,Journal of Industrial Ecology,Institution,,journal,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_05,
I_nature_sustainability,Nature Sustainability,Institution,,journal,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_06,
I_climatic_change,Climatic Change,Institution,,journal,,,cross-domain,mixed,global,adjacent,medium,uploaded_research_design,COMM_04,
N_earth4all,Earth4All,Initiative,,initiative,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_04,
N_future_earth,Future Earth,Initiative,,global_research_network,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_03,
N_earth_commission,Earth Commission,Initiative,,scientific_commission,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_02,
N_earth_system_governance_project,Earth System Governance Project,Initiative,,research_network,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_07,
N_strn,Sustainability Transitions Research Network (STRN),Initiative,,research_network,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_05,
N_polycrisis_research_agenda,Polycrisis Research Agenda,Initiative,,emerging_research_program,,,cross-domain,mixed,global,core,medium,uploaded_research_design,COMM_01,
G_sdgs,Sustainable Development Goals (SDGs),GovernanceFramework,,global_policy_framework,,,cross-domain,governance-oriented;transformative,global,core,medium,uploaded_research_design,COMM_06,
G_doughnut_economics,Doughnut Economics,GovernanceFramework,,economic_governance_framework,,,cross-domain,governance-oriented;transformative,global,core,medium,uploaded_research_design,COMM_06,
G_circular_economy,Circular Economy,GovernanceFramework,,economic_governance_framework,,,cross-domain,governance-oriented;transformative,multi-scale,adjacent,medium,uploaded_research_design,COMM_05,
G_just_transition,Just Transition,GovernanceFramework,,justice_transition_framework,,,cross-domain,governance-oriented;transformative,multi-scale,core,medium,uploaded_research_design,COMM_05,
G_earth_system_governance,Earth System Governance,GovernanceFramework,,governance_framework,,,cross-domain,governance-oriented;transformative,global,core,medium,uploaded_research_design,COMM_07,
G_planetary_governance,Planetary Governance,GovernanceFramework,,governance_framework,,,cross-domain,governance-oriented;transformative,planetary,core,medium,uploaded_research_design,COMM_07,
G_planetary_stewardship,Planetary Stewardship,GovernanceFramework,,governance_framework,,,cross-domain,governance-oriented;transformative,planetary,core,medium,uploaded_research_design,COMM_02,
G_adaptive_governance,Adaptive Governance,GovernanceFramework,,governance_framework,,,cross-domain,governance-oriented;transformative,multi-scale,core,medium,uploaded_research_design,COMM_03,
G_resilience_governance,Resilience Governance,GovernanceFramework,,governance_framework,,,cross-domain,governance-oriented;transformative,multi-scale,adjacent,medium,uploaded_research_design,COMM_03,
G_safe_and_just_boundaries,Safe and Just Boundary Governance,GovernanceFramework,,governance_framework,,,cross-domain,governance-oriented;transformative,planetary,core,medium,uploaded_research_design,COMM_02,
G_planetary_management,Planetary Management,GovernanceFramework,,governance_framework,,,cross-domain,governance-oriented;transformative,planetary,peripheral,medium,uploaded_research_design,COMM_09,
PER_michael_lawrence,Michael Lawrence,Person,,,,,cross-domain,mixed,global,core,medium,external_seed_publication_author_lists,COMM_01,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_scott_janzwood,Scott Janzwood,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_01,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_thomas_homer_dixon,Thomas Homer-Dixon,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_01,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_johan_rockstrom,Johan Rockström,Person,,,,,cross-domain,mixed,global,core,medium,external_seed_publication_author_lists,COMM_02,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_ortwin_renn,Ortwin Renn,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_01,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_jonathan_donges,Jonathan F. Donges,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_02,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_donella_meadows,Donella H. Meadows,Person,,,,,cross-domain,mixed,global,core,medium,external_seed_publication_author_lists,COMM_04,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_dennis_meadows,Dennis L. Meadows,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_04,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_jorgen_randers,Jørgen Randers,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_04,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_william_behrens,William W. Behrens III,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_04,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_will_steffen,Will Steffen,Person,,,,,cross-domain,mixed,global,core,medium,external_seed_publication_author_lists,COMM_02,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_joyeeta_gupta,Joyeeta Gupta,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_02,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_katherine_richardson,Katherine Richardson,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_02,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_carl_folke,Carl Folke,Person,,,,,cross-domain,mixed,global,core,medium,external_seed_publication_author_lists,COMM_03,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_elinor_ostrom,Elinor Ostrom,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_03,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_jochen_markard,Jochen Markard,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_05,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_rob_raven,Rob Raven,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_05,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_bernhard_truffer,Bernhard Truffer,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_05,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_kate_raworth,Kate Raworth,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_06,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_sandrine_dixson_declève,Sandrine Dixson-Declève,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_04,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_lance_gunderson,Lance H. Gunderson,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_03,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_cs_holling,C. S. Holling,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_03,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
PER_frank_biermann,Frank Biermann,Person,,,,,cross-domain,mixed,global,adjacent,medium,external_seed_publication_author_lists,COMM_07,Person node included as a publication/field anchor; current affiliation should be refreshed during bibliometric expansion.
P_what_is_global_polycrisis_2022,What Is a Global Polycrisis?,KeyPublication,,,2022,discussion_paper,cross-domain,mixed,global,core,medium,external_cascade_2022,COMM_01,
P_global_polycrisis_causal_mechanisms_2024,Global polycrisis: the causal mechanisms of crisis entanglement,KeyPublication,,,2024,academic_article,cross-domain,mixed,global,core,medium,external_cambridge_2024,COMM_01,
P_limits_to_growth_1972,The Limits to Growth,KeyPublication,,,1972,report_book,cross-domain,mixed,global,core,medium,external_club_of_rome_1972,COMM_04,
P_safe_operating_space_nature_2009,A safe operating space for humanity,KeyPublication,,,2009,academic_article,cross-domain,mixed,global,core,medium,external_nature_2009,COMM_02,
P_planetary_boundaries_ecology_society_2009,Planetary Boundaries: Exploring the Safe Operating Space for Humanity,KeyPublication,,,2009,academic_article,cross-domain,mixed,global,core,medium,external_ecology_society_2009,COMM_02,
P_planetary_boundaries_guiding_development_2015,Planetary boundaries: Guiding human development on a changing planet,KeyPublication,,,2015,academic_article,cross-domain,mixed,global,core,medium,external_science_2015,COMM_02,
P_safe_and_just_boundaries_2023,Safe and just Earth system boundaries,KeyPublication,,,2023,academic_article,cross-domain,mixed,global,core,medium,external_nature_2023,COMM_02,
P_resilience_perspective_ses_2006,Resilience: The emergence of a perspective for social-ecological systems analyses,KeyPublication,,,2006,academic_article,cross-domain,mixed,global,core,medium,external_gEC_2006,COMM_03,
P_general_framework_ses_2009,A general framework for analyzing sustainability of social-ecological systems,KeyPublication,,,2009,academic_article,cross-domain,mixed,global,core,medium,external_science_2009_ostrom,COMM_03,
P_sustainability_transitions_emerging_field_2012,Sustainability transitions: An emerging field of research and its prospects,KeyPublication,,,2012,academic_article,cross-domain,mixed,global,core,medium,external_research_policy_2012,COMM_05,
P_doughnut_economics_2017,Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,KeyPublication,,,2017,book,cross-domain,mixed,global,adjacent,medium,external_deal_2017,COMM_06,
P_adaptive_governance_ses_2005,Adaptive governance of social-ecological systems,KeyPublication,,,2005,academic_article,cross-domain,mixed,global,core,medium,external_adaptive_governance_2005,COMM_03,
P_earth4all_survival_guide_2022,Earth for All: A Survival Guide for Humanity,KeyPublication,,,2022,report_book,cross-domain,mixed,global,adjacent,medium,external_earth4all_2022,COMM_04,
P_panarchy_2002,Panarchy: Understanding Transformations in Human and Natural Systems,KeyPublication,,,2002,edited_book,cross-domain,mixed,global,core,medium,external_panarchy_2002,COMM_03,
P_earth_system_governance_science_plan_2009,"Earth System Governance: People, Places and the Planet",KeyPublication,,,2009,science_plan_report,cross-domain,mixed,global,core,medium,external_esg_2009,COMM_07,
